,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,prediction
54,380773a6-f975-22c8-187e-e40fe702,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",0.6963140172264373,-0.09368090103636906,0
55,3be7d5a2-f78e-3472-e5ac-fa27ed08,0.4615384615384616,0.16666666666666666,0.4,"[0.4615384615384616,0.16666666666666666,0.4]",0.47158520525942194,-0.3440170786969294,2
56,3c370e25-1bd5-c34b-ec40-31117752,0.3076923076923077,0.25,0.3333333333333333,"[0.3076923076923077,0.25,0.3333333333333333]",0.39892971656862786,-0.32199125381595695,2
57,3d524e1d-934c-6d53-022b-983c91c3,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]",1.0371222352086018,-0.10248623398033324,0
58,3d7d0f75-dda5-644d-e527-018ff340,0.8461538461538461,0.14583333333333334,0.7,"[0.8461538461538461,0.14583333333333334,0.7]",0.8099615957335673,-0.5162682001123515,1
59,3dc06a27-afe4-b105-1f3c-997851c7,0.8461538461538461,0.2222222222222222,0.7,"[0.8461538461538461,0.2222222222222222,0.7]",0.8204043955658387,-0.5738967856292634,1
60,3e4346e0-6285-8776-f373-101eac22,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]",1.0295274716942227,-0.06057453542257918,0
61,3e713aeb-dcb2-d6a8-962f-635df3e8,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]",1.0750960527804978,-0.31204472676910333,0
62,3fc2e2fe-697a-3255-1a17-4204819d,0.6153846153846154,0.08333333333333333,0.7142857142857143,"[0.6153846153846154,0.08333333333333333,0.7142857142857143]",0.7877220431673154,-0.3209785457989627,0
63,404bc704-6703-c3c0-815e-55c756c5,0.6153846153846154,0.0,0.8571428571428571,"[0.6153846153846154,0.0,0.8571428571428571]",0.9167999070594578,-0.23211233001294376,0
64,4196e8ee-e405-a1e1-4a7f-7d9149a5,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1.0544564259992804,-0.2006641367188134,0
65,42779e7e-90bc-7eac-5aa8-a9874f90,0.8461538461538461,0.047619047619047616,1.0,"[0.8461538461538461,0.047619047619047616,1.0]",1.0915221580501548,-0.3875771017540361,1
66,440d90ef-c7d7-0530-608e-8c0fc440,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]",1.0525792928221478,-0.18274763898454932,0
67,459f5319-edaf-cd53-126d-fdfb12a5,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",1.0202799901845738,-0.012061493208920276,0
68,45d78fe4-7d30-3b18-371e-57bb06c7,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]",1.1576545599053683,-0.7575670869702631,1
69,4641102c-f3d3-3878-6d00-1c49a28c,0.8461538461538461,0.14583333333333334,0.7,"[0.8461538461538461,0.14583333333333334,0.7]",0.8099615957335673,-0.5162682001123515,1
70,4a97a9b2-74fe-c9f3-625f-0176bddf,0.4615384615384616,0.016666666666666663,0.8,"[0.4615384615384616,0.016666666666666663,0.8]",0.8443953694289895,-0.1580592223327074,0
71,4b21d918-4ac0-0787-3094-37c9432c,0.8461538461538461,0.2222222222222222,0.6,"[0.8461538461538461,0.2222222222222222,0.6]",0.7220753891512408,-0.5920958531938348,2
72,4bd540f6-e34d-4592-7680-b2735389,0.4615384615384616,0.0,1.0,"[0.4615384615384616,0.0,1.0]",1.0387749532038715,-0.10908757763623811,0
73,4c4ac589-35f5-76e3-d0a3-fedab6c6,0.6153846153846154,0.027777777777777773,0.7142857142857143,"[0.6153846153846154,0.027777777777777773,0.7142857142857143]",0.7801272796529363,-0.27906684724120867,0
74,4cc576c8-f218-94be-fef3-4b6fd86e,1.0,0.0972222222222222,0.8333333333333334,"[1.0,0.0972222222222222,0.8333333333333334]",0.9529164825639136,-0.5523561248822058,1
75,4d0232bc-202c-ee3a-e58c-e543848c,0.5384615384615384,0.013888888888888895,1.0,"[0.5384615384615384,0.013888888888888895,1.0]",1.049921125592115,-0.16807854448933546,0
76,4debb215-7398-77ba-2243-94adbd31,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",1.0893016882759556,-0.38036179995047686,0
77,4f3771bf-0850-3813-5de9-d0592e66,0.38461538461538464,0.3333333333333333,0.75,"[0.38461538461538464,0.3333333333333333,0.75]",0.8292735367440033,-0.35754239568053214,0
78,502b50b6-08fa-b922-9bb6-dbd4d848,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]",1.0750960527804978,-0.31204472676910333,0
79,53cb26b0-7222-8eb4-ef0d-29e7a801,0.38461538461538464,0.3333333333333333,0.25,"[0.38461538461538464,0.3333333333333333,0.25]",0.3376285046710139,-0.4485377335033898,2
80,5409088d-b542-9cac-7fac-9ab00271,0.9230769230769232,0.25,0.7272727272727273,"[0.9230769230769232,0.25,0.7272727272727273]",0.860266260582113,-0.6384022950587344,1
81,5414140f-2888-40b9-e1e2-7984f327,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1.0544564259992804,-0.2006641367188134,0
82,54e1c86d-b289-f693-e3a3-5d393778,0.4615384615384616,0.016666666666666663,0.8,"[0.4615384615384616,0.016666666666666663,0.8]",0.8443953694289895,-0.1580592223327074,0
83,554558f4-55fd-07df-ddb3-309239ad,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",1.0240773719417635,-0.03301734248779728,0
84,56a4a9a0-7ab4-0a76-0621-b118321b,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1.0544564259992804,-0.2006641367188134,0
85,57b97824-05f2-21af-72f1-95f7d697,0.6153846153846154,0.13888888888888887,0.5714285714285714,"[0.6153846153846154,0.13888888888888887,0.5714285714285714]",0.6548467975179834,-0.3888889123061047,2
86,5bfa22fd-175f-02d2-c446-36369a81,0.8461538461538461,0.14583333333333334,0.1,"[0.8461538461538461,0.14583333333333334,0.1]",0.21998755724598018,-0.6254626054997807,2
87,5d557ed3-ce5e-24e4-a66e-aa966d6c,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",0.6963140172264373,-0.09368090103636906,0
88,5e97ad83-2b2c-529e-f831-deac0066,0.38461538461538464,0.125,0.5,"[0.38461538461538464,0.125,0.5]",0.5549706575285865,-0.24587119500038343,2
89,5fad3306-616d-9b57-3411-75efa34d,0.4615384615384616,0.08333333333333333,0.6,"[0.4615384615384616,0.08333333333333333,0.6]",0.6568510728170488,-0.24475139573115523,0
90,600fadb1-9f64-3bf4-b14c-378c45ae,0.8461538461538461,0.03125,0.9,"[0.8461538461538461,0.03125,0.9]",0.990955408814356,-0.3934271867078407,0
91,6408c27b-ab13-d145-5b44-24f30202,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1.0544564259992804,-0.2006641367188134,0
92,6613f3e0-2e08-24f1-52ba-bfab8807,0.6923076923076923,0.6666666666666666,0.125,"[0.6923076923076923,0.6666666666666666,0.125]",0.29727575377763704,-0.9168089281602639,2
93,6809fd15-56b5-3424-e33d-88eb107c,0.38461538461538464,0.3333333333333333,0.25,"[0.38461538461538464,0.3333333333333333,0.25]",0.3376285046710139,-0.4485377335033898,2
94,6a9b69a1-5f2e-6aea-63d9-0e9d77c1,0.5384615384615384,0.013888888888888895,1.0,"[0.5384615384615384,0.013888888888888895,1.0]",1.049921125592115,-0.16807854448933546,0
95,6c86b1d0-fd95-c414-78d2-9495251b,0.38461538461538464,0.02083333333333333,0.75,"[0.38461538461538464,0.02083333333333333,0.75]",0.7865529919756202,-0.12178909129316573,0
96,6e25573c-8b7b-a2e7-a782-480ddb63,0.3076923076923077,0.027777777777777773,0.3333333333333333,"[0.3076923076923077,0.027777777777777773,0.3333333333333333]",0.368550662511111,-0.1543444595849408,2
97,6f168bc8-c816-a359-ba88-da8c663d,0.6153846153846154,0.25,0.7142857142857143,"[0.6153846153846154,0.25,0.7142857142857143]",0.8105063337104531,-0.4467136414722248,0
98,6f359ebe-9f0a-2bae-a27a-c4ec1712,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]",1.0501670984754403,-0.17195512547286912,0
99,6f99bc0c-a871-5dd6-80cb-22296ada,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1.0544564259992804,-0.2006641367188134,0
100,70eacff4-a340-e4fd-746a-807b58c3,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]",1.1284362780764707,-0.5887684744280848,1
101,74105285-3bd1-71b2-bb2b-df56e6f7,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",1.0316721354561427,-0.07492904104555131,0
102,74df8aff-e884-bc0d-7710-a23afc0d,0.38461538461538464,0.3333333333333333,0.75,"[0.38461538461538464,0.3333333333333333,0.75]",0.8292735367440033,-0.35754239568053214,0
103,7550652e-a184-e590-1205-03d91e86,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]",1.0295274716942227,-0.06057453542257918,0
104,755f4b52-e48e-eda7-42c0-2dabd3cf,0.4615384615384616,0.016666666666666663,0.6,"[0.4615384615384616,0.016666666666666663,0.6]",0.6477373565997937,-0.19445735746185044,0
105,75bece44-7ed0-9de1-f411-854abe3b,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",0.6963140172264373,-0.09368090103636906,0
106,77d5ac07-0cfc-ac01-e741-58dae777,0.6153846153846154,0.05000000000000001,0.2857142857142857,"[0.6153846153846154,0.05000000000000001,0.2857142857142857]",0.36175515756755416,-0.37382753051247397,2
107,78928b9d-af19-1353-e439-c5b1d36f,0.38461538461538464,0.3333333333333333,0.5,"[0.38461538461538464,0.3333333333333333,0.5]",0.5834510207075085,-0.40304006459196096,2
108,78f08216-f3b9-62f6-7676-e8f9b3e2,0.38461538461538464,0.05555555555555556,0.5,"[0.38461538461538464,0.05555555555555556,0.5]",0.5454772031356125,-0.1934815718031909,2
109,7b7820c3-5040-cdf4-4448-bacd9426,0.6923076923076923,0.6666666666666666,0.625,"[0.6923076923076923,0.6666666666666666,0.625]",0.7889207858506264,-0.8258135903374063,1
110,7c6856f2-bacb-4be2-61d0-ba4bf284,0.38461538461538464,0.02083333333333333,0.75,"[0.38461538461538464,0.02083333333333333,0.75]",0.7865529919756202,-0.12178909129316573,0
111,7d0acedd-f795-6e39-b508-3eea42ac,0.5384615384615384,0.0,0.8333333333333334,"[0.5384615384615384,0.0,0.8333333333333334]",0.8841407573558572,-0.1879323991241828,0
112,80e6c3aa-f56c-4679-d623-79d6fd2d,0.3076923076923077,0.0,0.3333333333333333,"[0.3076923076923077,0.0,0.3333333333333333]",0.36475328075392144,-0.1333886103060638,2
113,85d4f155-5a13-7eb1-4d96-5c0b6e30,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]",1.0842232840862098,-0.8096162758704641,1
114,8a2e2082-7444-5533-6931-1b05fd88,0.5384615384615384,0.20833333333333331,0.8333333333333334,"[0.5384615384615384,0.20833333333333331,0.8333333333333334]",0.9126211205347792,-0.3451012687157604,0
115,8a68d73e-17f5-4571-ef15-e1d03878,0.7692307692307693,0.3333333333333333,1.0,"[0.7692307692307693,0.3333333333333333,1.0]",1.121333460328742,-0.5546099378373979,1
116,8a6d88da-00af-01eb-e85b-db817e28,0.6153846153846154,0.13888888888888887,0.5714285714285714,"[0.6153846153846154,0.13888888888888887,0.5714285714285714]",0.6548467975179834,-0.3888889123061047,2
117,8ae29d55-64a1-1cf2-962b-4a35e380,0.7692307692307693,0.125,0.5555555555555556,"[0.7692307692307693,0.125,0.5555555555555556]",0.6558352908627183,-0.47832581297724924,2
118,8c7bdf99-8cda-02c4-7ccf-ad45ef8a,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]",1.0842232840862098,-0.8096162758704641,1
119,8cedbb4b-6088-0b3c-fc04-ad8ce093,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",1.1063899061833087,-0.4746631217054234,1
120,8f38fcd5-8798-9850-2359-5268418e,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]",1.068662061494738,-0.26898120990018687,0
121,9187a2a4-6ffb-f4f5-f012-df8a1141,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",1.0202799901845738,-0.012061493208920276,0
122,92d86eda-129e-0d8c-0a73-835acef9,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",1.0544564259992804,-0.2006641367188134,0
123,9627fef7-14c0-4a88-0954-9cf43b68,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",1.1063899061833087,-0.4746631217054234,1
124,97372a43-0a6d-3145-e63f-0202242e,0.4615384615384616,0.16666666666666666,0.8,"[0.4615384615384616,0.16666666666666666,0.8]",0.8649012309178135,-0.27122080843864327,0
125,97f93288-c344-0f1f-19c0-14aff5aa,0.6923076923076923,0.02380952380952382,0.75,"[0.6923076923076923,0.02380952380952382,0.75]",0.8239497803453429,-0.3180865297133953,0
126,98599cc0-703a-b3be-34dc-7bcf7e6a,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",1.1370149331241508,-0.6461864969199733,1
127,987749e2-fc0f-96db-2aa7-7df33e6d,0.3076923076923077,0.08333333333333333,0.3333333333333333,"[0.3076923076923077,0.08333333333333333,0.3333333333333333]",0.3761454260254902,-0.19625615814269487,2
128,991dbd0d-8c68-1ed6-f469-0348585f,0.5384615384615384,0.0,1.0,"[0.5384615384615384,0.0,1.0]",1.0480224347135203,-0.15760061984989693,0
