,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,probability,prediction
11,Ana Stadler,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.5214103564895272,0.8904776105465639,"[-0.5214103564895272,0.8904776105465639]","[0.9810374873365693,2.124946709743083e-17,0.0189625126634307]",0
12,AnaPetar,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.5226124288781024,0.8697461646222459,"[-0.5226124288781024,0.8697461646222459]","[5.117661451988782e-06,9.560897456112234e-16,0.999994882338547]",2
13,AnBn,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]",-1.1214306704144046,0.7592055771361699,"[-1.1214306704144046,0.7592055771361699]","[0.8754066963240495,0.11186705862785842,0.012726245048091955]",0
14,Ando Saina,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]",-1.045977354028079,0.7833888735340884,"[-1.045977354028079,0.7833888735340884]","[0.973966167781411,0.0029791968220470246,0.02305463539654192]",0
15,Andra�� ��unkar,0.8461538461538461,0.018518518518518528,0.9,"[0.8461538461538461,0.018518518518518528,0.9]",-1.0240395875248764,0.6842893627645033,"[-1.0240395875248764,0.6842893627645033]","[2.4313415312142e-16,0.0636815459968225,0.9363184540031773]",2
16,andrea vlastelica,0.9230769230769232,0.05952380952380953,0.7272727272727273,"[0.9230769230769232,0.05952380952380953,0.7272727272727273]",-1.061236133772769,0.4952164404689128,"[-1.061236133772769,0.4952164404689128]","[3.295007459985263e-16,0.00021161081646897965,0.9997883891835307]",2
17,andrea zavorovic,0.6153846153846154,0.13888888888888887,0.2857142857142857,"[0.6153846153846154,0.13888888888888887,0.2857142857142857]",-0.6642547086906764,0.1250501744577553,"[-0.6642547086906764,0.1250501744577553]","[1.6766164501048992e-15,1.6766164501048992e-15,0.9999999999999967]",2
18,Andrej_A,0.8461538461538461,0.2222222222222222,0.9,"[0.8461538461538461,0.2222222222222222,0.9]",-1.025508787110913,0.6589509288570035,"[-1.025508787110913,0.6589509288570035]","[2.380823869060512e-16,0.05068931828608794,0.9493106817139118]",2
19,Andro Zuanic,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.44783925614975006,0.567824221286583,"[-0.44783925614975006,0.567824221286583]","[5.290190671460288e-16,5.290190671460288e-16,0.9999999999999989]",2
20,andrzej,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",-0.4474385653535583,0.5747347032613557,"[-0.4474385653535583,0.5747347032613557]","[5.320057399831315e-16,5.320057399831315e-16,0.9999999999999989]",2
21,ane,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.8251125929311615,0.76116643850239,"[-0.8251125929311615,0.76116643850239]","[2.0441363965647956e-16,1.489812644217337e-14,0.9999999999999849]",2
22,Anela,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.44783925614975006,0.567824221286583,"[-0.44783925614975006,0.567824221286583]","[5.290190671460288e-16,5.290190671460288e-16,0.9999999999999989]",2
23,Ankica,0.8461538461538461,0.375,1.0,"[0.8461538461538461,0.375,1.0]",-1.0486820169023734,0.7367431202043728,"[-1.0486820169023734,0.7367431202043728]","[2.370529183366679e-16,0.3042491969792604,0.6957508030207394]",2
24,Annie,1.0,0.0,1.0,"[1.0,0.0,1.0]",-1.1960253636660332,0.7498304563984786,"[-1.1960253636660332,0.7498304563984786]","[0.7958246553955635,0.18952460287929354,0.01465074172514307]",0
25,ante vrataric,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]",-0.6714583661274813,0.856919193410954,"[-0.6714583661274813,0.856919193410954]","[0.9747191651668844,1.081341733343477e-17,0.025280834833115665]",0
26,anton jane��,0.8461538461538461,0.10000000000000002,1.0,"[0.8461538461538461,0.10000000000000002,1.0]",-1.0466985974612242,0.7709500059794976,"[-1.0466985974612242,0.7709500059794976]","[0.935401910262533,0.010525392721958276,0.05407269701550865]",0
27,Anze-G,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.5226124288781024,0.8697461646222459,"[-0.5226124288781024,0.8697461646222459]","[5.117661451988782e-06,9.560897456112234e-16,0.999994882338547]",2
28,Anzze99,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8686406998598523,0.690769408216126,"[-0.8686406998598523,0.690769408216126]","[1.6836035834567343e-16,5.663818469393028e-11,0.9999999999433618]",2
