,users,catchingUpRatio,order,freq,ordinary-late,pcaInput,_1,_2,features,probability,prediction
93,ce280b9f-f7cf-eef4-dd34-fdc44bfe,0.25,0.6666666666666666,0.25,ordinary,"[0.25,0.6666666666666666,0.25]",-0.06336900259354322,0.6543071275738181,"[-0.06336900259354322,0.6543071275738181]","[1.1670398185463214e-05,0.9999883296018144,1.2311615964710287e-16]",1
94,ce4913ec-b21e-60b6-d455-4bc5b2b4,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]",0.19541560364193428,0.6285625411599866,"[0.19541560364193428,0.6285625411599866]","[1.3850572649700417e-11,0.9999999999861492,2.7564095040003265e-16]",1
95,cf23b843-3219-15e7-f878-361bbfeb,0.8333333333333334,0.8,0.16666666666666666,ordinary,"[0.8333333333333334,0.8,0.16666666666666666]",-0.6010846182424248,0.7950367286792306,"[-0.6010846182424248,0.7950367286792306]","[0.9663105854283782,0.03368941457162163,2.5428556532156347e-16]",0
96,d2a78c5a-c501-ea53-1bcf-2fedb47d,0.1111111111111111,0.5,0.4444444444444444,ordinary,"[0.1111111111111111,0.5,0.4444444444444444]",0.15077694919505108,0.477070378382415,"[0.15077694919505108,0.477070378382415]","[5.886212291894712e-10,0.9999999994113782,5.502053559854804e-16]",1
97,d41a406c-81b7-dca2-962a-a408e155,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",-0.48039756804343503,0.9900082889737666,"[-0.48039756804343503,0.9900082889737666]","[0.009304758307664621,0.0003796118990017662,0.9903156297933337]",2
98,d6458839-e410-c16f-44d7-7aad9b6b,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]",-0.698770572340163,0.9990955153822325,"[-0.698770572340163,0.9990955153822325]","[0.006619475163685447,1.753720990157593e-05,0.9933629876264131]",2
99,d80b6775-ae61-8dae-98ce-99412037,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",-0.48039756804343503,0.9900082889737666,"[-0.48039756804343503,0.9900082889737666]","[0.009304758307664621,0.0003796118990017662,0.9903156297933337]",2
100,d89aba44-424b-9d5d-5dd4-f1fbabf1,0.8181818181818182,1.0,0.09090909090909093,ordinary,"[0.8181818181818182,1.0,0.09090909090909093]",-0.6210377450445872,0.9985836484708188,"[-0.6210377450445872,0.9985836484708188]","[0.010288154596188492,4.843156889065343e-05,0.9896634138349208]",2
101,d964c832-c32d-77ff-672a-1cf12f7e,0.8888888888888888,0.875,0.1111111111111111,ordinary,"[0.8888888888888888,0.875,0.1111111111111111]",-0.6749789112860578,0.8731093718498564,"[-0.6749789112860578,0.8731093718498564]","[0.9888316432946588,0.011168356705340634,5.735878072135924e-16]",0
102,daf25c41-8b84-6414-7646-b7df2abd,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",-0.6519763571337214,0.9971482525804183,"[-0.6519763571337214,0.9971482525804183]","[0.008203135235306754,2.980973729010343e-05,0.9917670550274031]",2
103,dd30c478-d26e-3f37-f395-b912bead,0.8888888888888888,1.0,0.0,ordinary,"[0.8888888888888888,1.0,0.0]",-0.7285483573071925,1.00366260107312,"[-0.7285483573071925,1.00366260107312]","[0.011497625977847356,2.579456281662344e-05,0.988476579459336]",2
104,e3485d79-4f92-1fff-4e64-56943e9b,0.6,0.7777777777777778,0.4,ordinary,"[0.6,0.7777777777777778,0.4]",-0.28150434425227533,0.7595164037210025,"[-0.28150434425227533,0.7595164037210025]","[0.04016753932319489,0.9598324606768048,2.834313627967243e-16]",1
105,e88cc767-fc0d-54d4-243a-4479ebf9,0.2857142857142857,1.0,0.14285714285714285,ordinary,"[0.2857142857142857,1.0,0.14285714285714285]",-0.13885875854863156,0.9929108086220105,"[-0.13885875854863156,0.9929108086220105]","[7.63308387946861e-06,0.012501008988537532,0.9874913579275829]",2
106,e9822752-a8af-cf42-1ddc-d2518ca8,0.5555555555555556,0.75,0.2222222222222222,ordinary,"[0.5555555555555556,0.75,0.2222222222222222]",-0.3363890985144783,0.7406792972847427,"[-0.3363890985144783,0.7406792972847427]","[0.16199351536477158,0.8380064846352281,3.1550853111960646e-16]",1
107,eb9864df-c827-4027-9de4-5829eee9,0.6363636363636364,0.4,0.2727272727272727,ordinary,"[0.6363636363636364,0.4,0.2727272727272727]",-0.3903721696932946,0.38900363876423194,"[-0.3903721696932946,0.38900363876423194]","[0.5287948019029375,0.4712051980970621,3.49833736407229e-16]",0
108,eba3b0ea-3aeb-a6e3-8df6-742db8a0,0.42857142857142855,1.0,0.14285714285714285,ordinary,"[0.42857142857142855,1.0,0.14285714285714285]",-0.26101034429882236,0.9937151709113751,"[-0.26101034429882236,0.9937151709113751]","[0.00020666786689349802,0.0030166507909375295,0.996776681342169]",2
109,edcaf7c0-7593-61d2-f4e9-689b8340,0.6666666666666666,0.6,0.3333333333333333,ordinary,"[0.6666666666666666,0.6,0.3333333333333333]",-0.37861409026084186,0.585785241171391,"[-0.37861409026084186,0.585785241171391]","[0.32442719351219845,0.6755728064878013,2.2802486073263284e-16]",1
110,ef70bde5-8a4d-68a0-4f26-e5253d2c,0.75,0.6666666666666666,0.25,ordinary,"[0.75,0.6666666666666666,0.25]",-0.49089955271921093,0.6571223955865936,"[-0.49089955271921093,0.6571223955865936]","[0.8055478850935424,0.19445211490645753,1.767110636616211e-16]",0
111,f2a9ccb0-9831-6d2a-6254-8f0366c9,0.16666666666666666,1.0,0.16666666666666666,ordinary,"[0.16666666666666666,1.0,0.16666666666666666]",-0.024742693936068913,0.991014574027834,"[-0.024742693936068913,0.991014574027834]","[1.0197248814771442e-07,0.03455327370149579,0.9654466243260161]",2
112,f4bf52fc-cffa-0f52-f4f9-2eff92fc,0.75,0.0,0.25,ordinary,"[0.75,0.0,0.25]",-0.5119035220707628,-0.008649391187752719,"[-0.5119035220707628,-0.008649391187752719]","[0.9957881457534319,0.004211854246566718,1.3066117086224996e-15]",0
113,f6956137-aec3-29d6-ad64-d870e209,0.2857142857142857,1.0,0.42857142857142855,ordinary,"[0.2857142857142857,1.0,0.42857142857142855]",0.009018159300212714,0.9781996163855353,"[0.009018159300212714,0.9781996163855353]","[8.539955621968754e-08,0.1756729740780066,0.824326940522437]",2
