,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,_3,features,probability,prediction
48,Dario,0.2222222222222222,9.0,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8888888888888888,0.0,0.0,"[0.2222222222222222,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8888888888888888,0.0,0.0]",0.26479484935574354,0.17447799323256938,0.17447799323256938,"[0.26479484935574354,0.17447799323256938,0.17447799323256938]","[8.26707410548678e-11,1.5546568263439723e-15,0.9999999999173276]",2
49,DarioR,0.14285714285714285,7.0,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.0,"[0.14285714285714285,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.0]",0.2026488593749855,0.28479484129094074,0.28479484129094074,"[0.2026488593749855,0.28479484129094074,0.28479484129094074]","[1.5545286933269492e-13,1.6543380759390106e-15,0.9999999999998428]",2
50,Darko Babic,0.6923076923076923,13.0,0.15384615384615385,0.15384615384615385,0.0,1.0,0.9230769230769231,0.0,0.0,"[0.6923076923076923,0.15384615384615385,0.15384615384615385,0.0,1.0,0.9230769230769231,0.0,0.0]",-0.8490844984027415,-0.14337299371898585,-0.14337299371898585,"[-0.8490844984027415,-0.14337299371898585,-0.14337299371898585]","[0.14967677772742427,0.8469339585806389,0.003389263691936848]",1
51,Dejan Adamic,0.6153846153846154,13.0,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.7692307692307693,0.46153846153846156,0.07692307692307693,0.38461538461538464,"[0.6153846153846154,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.7692307692307693,0.46153846153846156,0.07692307692307693,0.38461538461538464]",-0.4916652441297509,-0.009388561839065626,-0.009388561839065626,"[-0.4916652441297509,-0.009388561839065626,-0.009388561839065626]","[0.09473491088659355,3.743556901370652e-05,0.9052276535443927]",2
52,DejanJ,0.8461538461538461,13.0,0.07692307692307693,0.07692307692307693,0.0,1.0,0.6923076923076923,0.15384615384615385,0.07692307692307693,"[0.8461538461538461,0.07692307692307693,0.07692307692307693,0.0,1.0,0.6923076923076923,0.15384615384615385,0.07692307692307693]",-0.9464826749170263,-0.1290232492875569,-0.1290232492875569,"[-0.9464826749170263,-0.1290232492875569,-0.1290232492875569]","[0.046805092510018284,0.952633173585659,0.0005617339043227103]",1
53,delimir,0.0,11.0,0.0,1.0,1.0,0.0,0.18181818181818182,0.5454545454545454,0.18181818181818182,"[0.0,0.0,1.0,1.0,0.0,0.18181818181818182,0.5454545454545454,0.18181818181818182]",0.8224147741073099,0.6320555267627435,0.6320555267627435,"[0.8224147741073099,0.6320555267627435,0.6320555267627435]","[4.406971287252755e-15,4.406971287252755e-15,0.9999999999999912]",2
54,demirel,0.25,4.0,0.75,0.0,1.0,0.0,0.5,0.0,0.25,"[0.25,0.75,0.0,1.0,0.0,0.5,0.0,0.25]",0.6365949414879681,-0.6808768720221459,-0.6808768720221459,"[0.6365949414879681,-0.6808768720221459,-0.6808768720221459]","[0.9979338144070012,1.2616231871136418e-15,0.0020661855929975095]",0
55,Deni Oreb,0.09090909090909091,11.0,0.9090909090909091,0.0,1.0,0.0,0.9090909090909091,0.0,0.0,"(8,[0,1,3,5],[0.09090909090909091,0.9090909090909091,1.0,0.9090909090909091])",0.713284110450711,-0.8320952549181779,-0.8320952549181779,"[0.713284110450711,-0.8320952549181779,-0.8320952549181779]","[0.9994111625787393,3.561653006969768e-15,0.000588837421257119]",0
56,Dimen,0.4,5.0,0.2,0.4,0.0,1.0,0.0,0.6,0.2,"[0.4,0.2,0.4,0.0,1.0,0.0,0.6,0.2]",-0.6427610437098326,0.32665269801084085,0.32665269801084085,"[-0.6427610437098326,0.32665269801084085,0.32665269801084085]","[1.2777122060112052e-08,0.9938768262718771,0.006123160951000825]",1
57,dkervina,0.5,8.0,0.5,0.0,0.5,0.5,0.875,0.0,0.0,"[0.5,0.5,0.0,0.5,0.5,0.875,0.0,0.0]",-0.13943122759828622,-0.5443424887101862,-0.5443424887101862,"[-0.13943122759828622,-0.5443424887101862,-0.5443424887101862]","[0.9570509905468515,1.5025391941842919e-15,0.04294900945314697]",0
58,dmeic,0.3076923076923077,13.0,0.46153846153846156,0.23076923076923078,0.9230769230769231,0.07692307692307693,0.6923076923076923,0.07692307692307693,0.15384615384615385,"[0.3076923076923077,0.46153846153846156,0.23076923076923078,0.9230769230769231,0.07692307692307693,0.6923076923076923,0.07692307692307693,0.15384615384615385]",0.5059976632055432,-0.379902399748865,-0.379902399748865,"[0.5059976632055432,-0.379902399748865,-0.379902399748865]","[0.5638316431175848,9.09635259686796e-15,0.4361683568824062]",0
59,Domen S,1.0,12.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.08333333333333333,0.0,"(8,[0,4,5,6],[1.0,1.0,0.8333333333333334,0.08333333333333333])",-1.0529509630569522,-0.21870370483595722,-0.21870370483595722,"[-1.0529509630569522,-0.21870370483595722,-0.21870370483595722]","[0.058450917806505645,0.9412230252222237,0.0003260569712707291]",1
60,Dorsi,0.4,10.0,0.6,0.0,0.6,0.4,0.6,0.3,0.0,"[0.4,0.6,0.0,0.6,0.4,0.6,0.3,0.0]",0.03721879095937256,-0.5277669582948802,-0.5277669582948802,"[0.03721879095937256,-0.5277669582948802,-0.5277669582948802]","[0.9683410075664496,8.715024039029601e-16,0.03165899243354964]",0
